pixel_iou,pixel_dice,pixel_accuracy,pixel_precision,pixel_recall,region_iou,region_dice,region_precision,region_recall,region_success_accuracy
0.0,0.0,0.9800634384155273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9972009658813477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9947137832641602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9933843612670898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9976186752319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9979324340820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9976720809936523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9962434768676758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9975242614746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9976158142089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9977388381958008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9977951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9978151321411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9988164901733398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9981565475463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9982767105102539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.998809814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9986429214477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9979381561279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.998448371887207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9248933792114258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9775161743164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9810371398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9809408187866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9813032150268555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9775991439819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9776325225830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9815549850463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9778327941894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9563674926757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9809656143188477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9812154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9807863235473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8900244390135525,0.9418126248971436,0.9981117248535156,0.9308161487075225,0.9530720275976923,0.8900244390135525,0.9418126248971436,0.9308161487075225,0.9530720275976923,1.0
0.0,0.0,0.9813499450683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.97760009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9706764221191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9787225723266602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9809989929199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9760684967041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9797296524047852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9801969528198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9769620895385742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9930801391601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9801788330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9881010055541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9857616424560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9778814315795898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9789762496948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9778852462768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9951772689819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9954032897949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9858722686767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9885845184326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9934358596801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.997014045715332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9988260269165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9989547729492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9841642379760742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.998356819152832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.99554443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9990034103393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9989433288574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9964771270751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9861736297607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9970827102661133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9936552047729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9947013854980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9962434768676758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9961071014404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9945201873779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9990615844726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9952430725097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9950771331787109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9948854446411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
