pixel_iou,pixel_dice,pixel_accuracy,pixel_precision,pixel_recall,region_iou,region_dice,region_precision,region_recall,region_success_accuracy
0.7324267469047758,0.8455500334583951,0.9608192443847656,0.9432422458188651,0.7661947457349976,0.7324267469047758,0.8455500334583951,0.9432422458188651,0.7661947457349976,1.0
0.8383617542381014,0.9120748430556375,0.9630546569824219,0.9478816297840824,0.878874828866737,0.8383617542381014,0.9120748430556375,0.9478816297840824,0.878874828866737,1.0
0.6129564115098138,0.7600408878204634,0.8663473129272461,0.8620032080535349,0.6796484566389025,0.6129564115098138,0.7600408878204634,0.8620032080535349,0.6796484566389025,1.0
0.7656458013718603,0.8672699822093125,0.9294900894165039,0.9155027800623856,0.823865070432143,0.7656458013718603,0.8672699822093125,0.9155027800623856,0.823865070432143,1.0
0.8889615051823487,0.9412171743505529,0.9539833068847656,0.9260990683870102,0.956837062760387,0.8889615051823487,0.9412171743505529,0.9260990683870102,0.956837062760387,1.0
0.5316498911777795,0.6942185603120584,0.8534717559814453,0.8387410132486955,0.5921806298276886,0.5316498911777795,0.6942185603120584,0.8387410132486955,0.5921806298276886,1.0
0.8145270997460071,0.8977844418636928,0.9178247451782227,0.9509130612870558,0.8502783981880525,0.8145270997460071,0.8977844418636928,0.9509130612870558,0.8502783981880525,1.0
0.8677637032917922,0.9292007353632843,0.9260683059692383,0.9273265511100255,0.931082510642815,0.8677637032917922,0.9292007353632843,0.9273265511100255,0.931082510642815,1.0
0.8355853676473435,0.910429318488529,0.9189796447753906,0.8995191586526442,0.9216073837536928,0.8355853676473435,0.910429318488529,0.8995191586526442,0.9216073837536928,1.0
0.8339510997610391,0.9094583818180338,0.9151096343994141,0.9117527690704367,0.9071755130367024,0.8339510997610391,0.9094583818180338,0.9117527690704367,0.9071755130367024,1.0
0.8424748149728777,0.9145034799135416,0.9331178665161133,0.9363507002521407,0.8936525068559407,0.8424748149728777,0.9145034799135416,0.9363507002521407,0.8936525068559407,1.0
0.695017334728006,0.8200710641576219,0.9115762710571289,0.9030048164245633,0.7510895143574176,0.695017334728006,0.8200710641576219,0.9030048164245633,0.7510895143574176,1.0
0.8272830313704291,0.9054788088848851,0.9527702331542969,0.9528880569135411,0.8625634983836775,0.8272830313704291,0.9054788088848851,0.9528880569135411,0.8625634983836775,1.0
